airline_id,name,alias,code,callsign,country,active
1449,Benina Air,\N,BNE,BENINA AIR,Libya,False
1450,BN Group Limited,\N,BNG,VECTIS,United Kingdom,False
1451,Blue Nile Ethiopia Trading,\N,BNL,NILE TRADING,Ethiopia,False
1452,Bonair Aviation,\N,BNR,BONAIR,Canada,False
1453,Bancstar - Valley National Corporation,\N,BNS,BANCSTAR,United States,False
1454,Bentiu Air Transport,\N,BNT,BENTIU AIR,Sudan,False
1455,Benane Aviation Corporation,\N,BNV,BENANE,Mauritania,False
1456,British North West Airlines,\N,BNW,BRITISH NORTH,United Kingdom,False
1457,Boniair,\N,BOA,KUMANOVO,Macedonia,False
1458,Bond Air Services,\N,BOD,UGABOND,Uganda,False
1459,Boeing,\N,BOE,BOEING,United States,False
1460,Bordaire,\N,BOF,BORDAIR,Canada,False
1461,Bookajet Limited,\N,BOO,BOOKAJET,United Kingdom,False
1462,Bouraq Indonesia Airlines,\N,BOU,BOURAQ,Indonesia,False
1463,Blue Panorama Airlines,\N,BPA,BLUE PANOROMA,Italy,True
1464,Berkhut ZK,\N,BPK,VENERA,Kazakhstan,False
1465,Bundepolizei-Fliegertruppe,\N,BPO,PIROL,Germany,False
1466,Budapest Aircraft Services/Manx2,\N,BPS,BASE,Hungary,True
1467,Bonus Aviation,\N,BPT,BONUS,United Kingdom,False
1468,British Petroleum Exploration,\N,BPX,,Colombia,False
1469,BRA-Transportes Aereos,\N,BRB,BRA-TRANSPAEREOS,Brazil,False
1470,Brock Air Services,\N,BRD,BROCK AIR,Canada,False
1471,Breeze Ltd,\N,BRE,AVIABREEZE,Ukraine,False
1472,Bering Air,\N,BRG,BERING AIR,United States,True
1473,Briansk State Air Enterprise,\N,BRK,BRIANSK-AVIA,Russia,False
1474,Branson Airlines,\N,BRN,BRANSON,United States,False
1475,BASE Regional Airlines,\N,BRO,COASTRIDER,Netherlands,False
1476,Brazilian Air Force,\N,BRS,BRAZILIAN AIR FORCE,Brazil,True
1477,British Regional Airlines,\N,BRT,BRITISH,United Kingdom,False
1478,Belavia Belarusian Airlines,\N,BRU,BELARUS AVIA,Belarus,True
1479,Bravo Air Congo,\N,BRV,BRAVO,Democratic Republic of the Congo,False
1480,Bright Aviation Services,\N,BRW,BRIGHT SERVICES,Bulgaria,False
1481,Braniff International Airways,\N,BNF,Braniff,United States,False
1482,Buffalo Express Airlines,\N,BRX,BUFF EXPRESS,United States,False
1483,Burundayavia,\N,BRY,BURAIR,Kazakhstan,False
1484,Bistair - Fez,\N,BSC,BIG SHOT,Kyrgyzstan,False
1485,Blue Star Airlines,\N,BSD,AIRLINES STAR,Mexico,False
1486,Brasair Transportes Aereos,\N,BSI,BRASAIR,Brazil,False
1487,Blue Swann Aviation,\N,BSJ,BLUE SWANN,United Kingdom,False
1488,Blue Sky Aviation,\N,BSM,,Lebanon,False
1489,Bissau Aero Transporte,\N,BSS,BISSAU AIRSYSTEM,Guinea-Bissau,False
1490,Best Air,\N,BST,TUNCA,Turkey,False
1491,Blue Sky Airways,\N,BSW,SKY BLUE,Czech Republic,False
1492,Big Sky Airlines,\N,BSY,BIG SKY,United States,False
1493,BAL Bashkirian Airlines,\N,BTC,BASHKIRIAN,Russia,False
1494,Baltijas Helicopters,\N,BTH,BALTIJAS HELICOPTERS,Latvia,False
1495,Baltyka,\N,BTK,BALTYKA,Ukraine,False
1496,Baltia Air Lines,\N,BTL,BALTIA FLIGHT,United States,False
1497,Botir-Avia,\N,BTR,BOTIR-AVIA,Kyrgyzstan,False
1498,Business Express,\N,GAA,BIZEX,United States,False
1499,BT-Slavuta,\N,BTT,BEETEE-SLAVUTA,Ukraine,False
1500,Metro Batavia,\N,BTV,BATAVIA,Indonesia,True
1501,Bulgarian Air Charter,\N,BUC,BULGARIAN CHARTER,Bulgaria,False
1502,Blue Airlines,\N,BUL,BLUE AIRLINES,Democratic Republic of the Congo,False
1503,Buryat Airlines Aircompany,\N,BUN,BURAL,Russia,False
1504,Buzz Stansted,\N,BUZ,BUZZ,United Kingdom,False
1505,Buffalo Airways,\N,BVA,BUFFALO AIR,United States,False
1506,Bulgarian Aeronautical Centre,\N,BVC,BULGARIAN WINGS,Bulgaria,False
1507,Baron Aviation Services,\N,BVN,SHOW-ME,United States,False
1508,Berjaya Air,\N,BVT,BERJAYA,Malaysia,True
1509,Bellview Airlines,\N,BVU, Sierra Leone,,False
1510,Blue Wings,\N,BWG,BLUE WINGS,Germany,True
1511,Blue Wing Airlines,\N,BWI,BLUE TAIL,Suriname,False
1512,BWA (2002) Ltd,\N,BWL,BRITWORLD,United Kingdom,False
1513,Bahrain Executive Air Services,\N,BXA,BEXAIR,Bahrain,False
1514,Bar XH Air,\N,BXH,PALLISER,Canada,False
1515,Brussels International Airlines,\N,BXI,XENIA,Belgium,False
1516,BAX Global,\N,,,,False
1517,Redding Aero Enterprises,\N,BXR,BOXER,United States,False
1518,Berry Aviation,\N,BYA,BERRY,United States,False
1519,Bylina Joint-Stock Company,\N,BYL,BYLINA,Russia,False
